user_id,user_paid,user_registered,onboarded,subscription_type,completed_date,onboarding_country,onboarding_heard_from_label,onboarding_goals_label,onboarding_learn_label
507416,1,3/23/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
507454,1,3/23/2023,onboarded,monthly,3/23/2023,Italy,other,I want to join an industry-leading company.,Machine and deep learning
507469,0,3/24/2023,not-onboarded,NULL,NULL,NULL,multiple_sources,NULL,NULL
507499,1,3/24/2023,onboarded,annual,3/24/2023,Cambodia,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
507553,1,3/24/2023,onboarded,annual,3/24/2023,United States of America,other,NULL,Introduction to the world of data and data science
507580,1,3/24/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
507605,1,3/24/2023,onboarded,annual,3/24/2023,United States of America,google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
507618,1,3/24/2023,onboarded,annual,3/24/2023,Poland,youtube,NULL,Introduction to the world of data and data science
507622,1,3/24/2023,onboarded,annual,3/24/2023,United States of America,linkedin,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
507623,1,3/24/2023,onboarded,annual,3/24/2023,Bangladesh,youtube,I want to join an industry-leading company.,Machine and deep learning
507646,1,3/25/2023,onboarded,annual,3/25/2023,United States of America,youtube,NULL,Introduction to the world of data and data science
507648,1,3/25/2023,not-onboarded,annual,NULL,NULL,friend,NULL,NULL
507729,1,3/25/2023,onboarded,annual,3/25/2023,Guyana,google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
507730,1,3/25/2023,onboarded,annual,3/25/2023,India,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
507741,1,3/25/2023,onboarded,annual,3/25/2023,United States of America,youtube,I want to become a data scientist.,Data analysis and data visualization
507781,1,3/25/2023,onboarded,annual,3/25/2023,Turkey,friend,I want to become a data scientist.,Data analysis and data visualization
507801,1,3/25/2023,onboarded,annual,3/25/2023,Oman,twitter,I want to improve my data skills.,Introduction to the world of data and data science
507828,1,3/26/2023,onboarded,annual,3/26/2023,United States of America,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
507874,1,3/26/2023,onboarded,annual,3/26/2023,Philippines,facebook,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
507910,1,3/26/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
507951,1,3/26/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508005,1,3/26/2023,onboarded,monthly,3/26/2023,South Africa,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508008,1,3/26/2023,onboarded,annual,3/26/2023,Saudi Arabia,friend,I want to earn a higher salary.,Business analysis
508014,1,3/27/2023,onboarded,annual,3/27/2023,Venezuela (Bolivarian Republic of),friend,I want to earn a higher salary.,Business analysis
508024,1,3/27/2023,onboarded,annual,3/27/2023,Nigeria,friend,I want to join an industry-leading company.,Machine and deep learning
508055,1,3/27/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
508066,1,3/27/2023,onboarded,annual,3/27/2023,India,friend,NULL,Introduction to the world of data and data science
508080,1,3/27/2023,onboarded,annual,3/27/2023,India,friend,I want to become a data scientist.,Data analysis and data visualization
508084,1,3/27/2023,onboarded,monthly,3/27/2023,Angola,google,I want to become a data scientist.,Data analysis and data visualization
508094,1,3/27/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508102,1,3/27/2023,onboarded,annual,3/27/2023,Uzbekistan,youtube,I want to become a data scientist.,Data analysis and data visualization
508114,1,3/27/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508115,0,3/27/2023,onboarded,NULL,3/27/2023,India,instagram,I want to become a data scientist.,Data analysis and data visualization
508131,1,3/27/2023,onboarded,monthly,3/27/2023,United Arab Emirates,linkedin,I want to become a data scientist.,Data analysis and data visualization
508163,0,3/27/2023,onboarded,NULL,3/27/2023,Zimbabwe,multiple_sources,NULL,Introduction to the world of data and data science
508174,1,3/27/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508175,1,3/27/2023,onboarded,annual,3/27/2023,Australia,linkedin,I want to earn a higher salary.,Business analysis
508221,1,3/27/2023,onboarded,annual,3/27/2023,New Zealand,instagram,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508243,1,3/28/2023,onboarded,annual,6/22/2023,India,youtube,I want to become a data scientist.,Data analysis and data visualization
508337,1,3/28/2023,onboarded,annual,3/28/2023,China,youtube,I want to earn a higher salary.,Business analysis
508361,1,3/28/2023,onboarded,annual,3/28/2023,Bangladesh,facebook,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508364,1,3/28/2023,not-onboarded,monthly,NULL,NULL,friend,NULL,NULL
508384,1,3/28/2023,onboarded,monthly,3/28/2023,United Kingdom,google,I want to earn a higher salary.,Business analysis
508408,1,3/28/2023,onboarded,annual,3/28/2023,India,google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508413,0,3/28/2023,not-onboarded,NULL,NULL,NULL,multiple_sources,NULL,NULL
508429,1,3/28/2023,onboarded,annual,3/28/2023,Egypt,linkedin,I want to earn a higher salary.,Business analysis
508454,1,3/29/2023,onboarded,annual,3/29/2023,United States of America,facebook,I want to become a data scientist.,Data analysis and data visualization
508459,1,3/29/2023,onboarded,monthly,3/29/2023,India,google,I want to earn a higher salary.,Business analysis
508469,1,3/29/2023,onboarded,annual,3/29/2023,Philippines,linkedin,NULL,Introduction to the world of data and data science
508474,1,3/29/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508492,1,3/29/2023,onboarded,monthly,3/29/2023,India,google,NULL,Introduction to the world of data and data science
508496,1,3/29/2023,onboarded,annual,3/29/2023,India,instagram,NULL,Introduction to the world of data and data science
508507,1,3/29/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508534,1,3/29/2023,onboarded,monthly,3/29/2023,United States of America,google,I want to improve my data skills.,Introduction to the world of data and data science
508546,1,3/29/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508627,1,3/29/2023,onboarded,quarterly,3/29/2023,Argentina,other,NULL,Introduction to the world of data and data science
508638,1,3/29/2023,onboarded,annual,3/29/2023,Egypt,multiple_sources,I want to join an industry-leading company.,Machine and deep learning
508647,1,3/29/2023,onboarded,annual,3/29/2023,South Africa,google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508670,1,3/29/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508686,1,3/30/2023,onboarded,annual,4/2/2023,Colombia,friend,NULL,Introduction to the world of data and data science
508704,1,3/30/2023,onboarded,annual,3/30/2023,India,google,I want to become a data scientist.,Data analysis and data visualization
508752,1,3/30/2023,onboarded,annual,3/30/2023,Finland,google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508770,1,3/30/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508775,1,3/30/2023,onboarded,monthly,3/30/2023,Sri Lanka,linkedin,I want to improve my data skills.,Introduction to the world of data and data science
508784,1,3/30/2023,onboarded,annual,3/30/2023,Egypt,multiple_sources,I want to become a data scientist.,Data analysis and data visualization
508809,1,3/30/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508810,1,3/30/2023,onboarded,annual,3/30/2023,India,linkedin,I want to become a data scientist.,Data analysis and data visualization
508848,1,3/30/2023,onboarded,annual,3/30/2023,Canada,google,I want to improve my data skills.,Introduction to the world of data and data science
508849,1,3/30/2023,onboarded,annual,3/31/2023,United Kingdom,linkedin,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508853,1,3/30/2023,onboarded,annual,3/30/2023,Morocco,friend,I want to become a data scientist.,Data analysis and data visualization
508867,1,3/30/2023,onboarded,annual,3/30/2023,Bolivia,friend,I want to join an industry-leading company.,Machine and deep learning
508874,0,3/30/2023,not-onboarded,NULL,NULL,NULL,multiple_sources,NULL,NULL
508880,1,3/30/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508881,1,3/30/2023,onboarded,monthly,3/30/2023,Nigeria,other,NULL,Introduction to the world of data and data science
508886,1,3/30/2023,onboarded,annual,3/30/2023,Egypt,google,I want to join an industry-leading company.,Machine and deep learning
508887,1,3/30/2023,onboarded,annual,3/30/2023,Ukraine,instagram,NULL,Introduction to the world of data and data science
508892,1,3/30/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
508894,1,3/30/2023,onboarded,annual,3/30/2023,United States of America,linkedin,I want to become a data scientist.,Data analysis and data visualization
508901,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508902,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,multiple_sources,I want to become a data scientist.,Data analysis and data visualization
508903,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508905,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508917,1,3/31/2023,onboarded,annual,3/31/2023,India,friend,I want to become a data scientist.,Data analysis and data visualization
508926,1,3/31/2023,onboarded,annual,3/31/2023,India,youtube,I want to become a data scientist.,Data analysis and data visualization
508928,1,3/31/2023,onboarded,annual,3/31/2023,Vietnam,multiple_sources,I want to join an industry-leading company.,Machine and deep learning
508931,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,instagram,I want to join an industry-leading company.,Machine and deep learning
508944,1,3/31/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
508949,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508956,1,3/31/2023,not-onboarded,annual,NULL,NULL,friend,NULL,NULL
508961,1,3/31/2023,onboarded,annual,3/31/2023,Australia,youtube,I want to improve my data skills.,Introduction to the world of data and data science
508965,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,other,NULL,Introduction to the world of data and data science
508969,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508977,1,3/31/2023,onboarded,annual,3/31/2023,India,multiple_sources,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
508978,1,3/31/2023,onboarded,annual,3/31/2023,Brazil,friend,I want to improve my data skills.,Introduction to the world of data and data science
508982,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508985,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,google,NULL,Introduction to the world of data and data science
508990,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
508994,1,3/31/2023,onboarded,annual,3/31/2023,Cambodia,youtube,I want to join an industry-leading company.,Machine and deep learning
509000,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
509005,1,3/31/2023,onboarded,annual,4/1/2023,India,friend,NULL,Introduction to the world of data and data science
509016,1,3/31/2023,onboarded,annual,3/31/2023,Norway,instagram,NULL,Introduction to the world of data and data science
509017,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,youtube,NULL,Introduction to the world of data and data science
509024,1,3/31/2023,onboarded,monthly,3/31/2023,India,youtube,NULL,Introduction to the world of data and data science
509032,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,other,I want to join an industry-leading company.,Machine and deep learning
509036,1,3/31/2023,onboarded,annual,3/31/2023,Japan,youtube,NULL,Introduction to the world of data and data science
509047,1,3/31/2023,onboarded,monthly,3/31/2023,India,youtube,I want to earn a higher salary.,Business analysis
509048,1,3/31/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
509057,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,youtube,NULL,Introduction to the world of data and data science
509061,1,3/31/2023,onboarded,annual,3/31/2023,Saudi Arabia,multiple_sources,NULL,Introduction to the world of data and data science
509082,1,3/31/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
509085,1,3/31/2023,onboarded,annual,3/31/2023,Canada,linkedin,NULL,Introduction to the world of data and data science
509095,1,3/31/2023,onboarded,annual,3/31/2023,United States of America,google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
